X,CH1,
0,5.60e-02,
1,0.00e+00,
2,2.40e-02,
3,-3.20e-02,
4,0.00e+00,
5,-5.60e-02,
6,-3.20e-02,
7,-8.00e-02,
8,-5.60e-02,
9,-1.28e-01,
10,-9.60e-02,
11,-1.68e-01,
12,-1.44e-01,
13,-2.08e-01,
14,-1.68e-01,
15,-2.24e-01,
16,-2.00e-01,
17,-2.56e-01,
18,-2.24e-01,
19,-2.96e-01,
20,-2.64e-01,
21,-3.20e-01,
22,-2.88e-01,
23,-3.28e-01,
24,-2.88e-01,
25,-3.28e-01,
26,-2.88e-01,
27,-3.36e-01,
28,-3.36e-01,
29,-2.88e-01,
30,-2.96e-01,
31,-3.44e-01,
32,-2.96e-01,
33,-3.52e-01,
34,-3.60e-01,
35,-3.12e-01,
36,-3.20e-01,
37,-3.60e-01,
38,-3.52e-01,
39,-3.04e-01,
40,-3.44e-01,
41,-2.96e-01,
42,-3.28e-01,
43,-2.80e-01,
44,-3.20e-01,
45,-2.80e-01,
46,-3.12e-01,
47,-2.72e-01,
48,-3.12e-01,
49,-2.64e-01,
50,-3.04e-01,
51,-2.56e-01,
52,-2.96e-01,
53,-2.56e-01,
54,-2.88e-01,
55,-2.40e-01,
56,-2.72e-01,
57,-2.24e-01,
58,-2.56e-01,
59,-2.16e-01,
60,-2.48e-01,
61,-2.00e-01,
62,-2.32e-01,
63,-1.84e-01,
64,-2.16e-01,
65,-1.60e-01,
66,-1.92e-01,
67,-1.44e-01,
68,-1.76e-01,
69,-1.28e-01,
70,-1.68e-01,
71,-1.20e-01,
72,-1.52e-01,
73,-1.04e-01,
74,-1.36e-01,
75,-8.80e-02,
76,-1.28e-01,
77,-7.20e-02,
78,-1.12e-01,
79,-6.40e-02,
80,-9.60e-02,
81,-5.60e-02,
82,-8.80e-02,
83,-4.80e-02,
84,-8.00e-02,
85,-3.20e-02,
86,-7.20e-02,
87,-2.40e-02,
88,-6.40e-02,
89,-1.60e-02,
90,-4.80e-02,
91,-8.00e-03,
92,-4.00e-02,
93,-8.00e-03,
94,-8.00e-03,
95,-4.00e-02,
96,-4.00e-02,
97,0.00e+00,
98,-3.20e-02,
99,1.60e-02,
100,8.00e-03,
101,-2.40e-02,
102,8.00e-03,
103,-4.00e-02,
104,0.00e+00,
105,-4.80e-02,
106,0.00e+00,
107,-4.00e-02,
108,8.00e-03,
109,-4.00e-02,
110,8.00e-03,
111,-3.20e-02,
112,-2.40e-02,
113,1.60e-02,
114,-1.60e-02,
115,2.40e-02,
116,-1.60e-02,
117,3.20e-02,
118,1.60e-02,
119,-2.40e-02,
120,8.00e-03,
121,-3.20e-02,
122,8.00e-03,
123,-3.20e-02,
124,1.60e-02,
125,-2.40e-02,
126,0.00e+00,
127,-4.00e-02,
128,-8.00e-03,
129,-5.60e-02,
130,-2.40e-02,
131,-7.20e-02,
132,-4.00e-02,
133,-8.80e-02,
134,-8.80e-02,
135,-4.80e-02,
136,-5.60e-02,
137,-1.20e-01,
138,-9.60e-02,
139,-1.84e-01,
140,-1.52e-01,
141,-2.48e-01,
142,-2.24e-01,
143,-3.20e-01,
144,-2.96e-01,
145,-3.76e-01,
146,-3.36e-01,
147,-3.92e-01,
148,-3.60e-01,
149,-4.32e-01,
150,-3.92e-01,
151,-4.56e-01,
152,-4.16e-01,
153,-4.88e-01,
154,-4.48e-01,
155,-5.04e-01,
156,-4.64e-01,
157,-5.12e-01,
158,-4.96e-01,
159,-4.40e-01,
160,-4.72e-01,
161,-3.92e-01,
162,-4.24e-01,
163,-3.52e-01,
164,-3.92e-01,
165,-3.04e-01,
166,-3.36e-01,
167,-2.32e-01,
168,-2.64e-01,
169,-1.44e-01,
170,-1.68e-01,
171,-7.20e-02,
172,-9.60e-02,
173,8.00e-03,
174,-8.00e-03,
175,1.28e-01,
176,9.60e-02,
177,2.24e-01,
178,1.92e-01,
179,2.80e-01,
180,2.56e-01,
181,2.96e-01,
182,2.96e-01,
183,2.56e-01,
184,2.88e-01,
185,2.40e-01,
186,2.72e-01,
187,2.24e-01,
188,2.64e-01,
189,2.24e-01,
190,2.16e-01,
191,2.64e-01,
192,2.56e-01,
193,2.16e-01,
194,2.48e-01,
195,2.00e-01,
196,2.32e-01,
