X,CH1,
0,8.00e-02,
1,9.60e-02,
2,9.20e-02,
3,1.16e-01,
4,1.08e-01,
5,1.36e-01,
6,1.28e-01,
7,1.56e-01,
8,1.48e-01,
9,1.72e-01,
10,1.68e-01,
11,1.88e-01,
12,1.80e-01,
13,1.96e-01,
14,1.84e-01,
15,2.04e-01,
16,1.96e-01,
17,2.12e-01,
18,2.12e-01,
19,1.96e-01,
20,2.04e-01,
21,1.92e-01,
22,2.00e-01,
23,1.80e-01,
24,1.88e-01,
25,1.68e-01,
26,1.80e-01,
27,1.52e-01,
28,1.56e-01,
29,1.28e-01,
30,1.36e-01,
31,9.60e-02,
32,1.04e-01,
33,6.40e-02,
34,6.80e-02,
35,3.20e-02,
36,3.60e-02,
37,8.00e-03,
38,8.00e-03,
39,-2.40e-02,
40,-1.60e-02,
41,-6.00e-02,
42,-5.20e-02,
43,-9.60e-02,
44,-8.40e-02,
45,-1.24e-01,
46,-1.16e-01,
47,-1.56e-01,
48,-1.48e-01,
49,-1.84e-01,
50,-1.76e-01,
51,-2.00e-01,
52,-1.92e-01,
53,-2.20e-01,
54,-2.12e-01,
55,-2.40e-01,
56,-2.32e-01,
57,-2.48e-01,
58,-2.48e-01,
59,-2.32e-01,
60,-2.36e-01,
61,-2.56e-01,
62,-2.48e-01,
63,-2.68e-01,
64,-2.60e-01,
65,-2.72e-01,
66,-2.64e-01,
67,-2.84e-01,
68,-2.84e-01,
69,-2.64e-01,
70,-2.72e-01,
71,-2.52e-01,
72,-2.52e-01,
73,-2.68e-01,
74,-2.60e-01,
75,-2.72e-01,
76,-2.64e-01,
77,-2.68e-01,
78,-2.72e-01,
79,-2.52e-01,
80,-2.64e-01,
81,-2.48e-01,
82,-2.48e-01,
83,-2.64e-01,
84,-2.48e-01,
85,-2.64e-01,
86,-2.64e-01,
87,-2.48e-01,
88,-2.60e-01,
89,-2.40e-01,
90,-2.52e-01,
91,-2.32e-01,
92,-2.40e-01,
93,-2.28e-01,
94,-2.28e-01,
95,-2.48e-01,
96,-2.48e-01,
97,-2.28e-01,
98,-2.32e-01,
99,-2.08e-01,
100,-2.16e-01,
101,-1.92e-01,
102,-2.00e-01,
103,-1.80e-01,
104,-1.88e-01,
105,-1.68e-01,
106,-1.80e-01,
107,-1.64e-01,
108,-1.72e-01,
109,-1.52e-01,
110,-1.64e-01,
111,-1.44e-01,
112,-1.52e-01,
113,-1.36e-01,
114,-1.40e-01,
115,-1.36e-01,
116,-1.48e-01,
117,-1.32e-01,
118,-1.40e-01,
119,-1.20e-01,
120,-1.24e-01,
121,-1.04e-01,
122,-1.08e-01,
123,-9.20e-02,
124,-1.00e-01,
125,-8.40e-02,
126,-9.20e-02,
127,-7.60e-02,
128,-8.40e-02,
129,-6.00e-02,
130,-6.80e-02,
131,-4.40e-02,
132,-5.20e-02,
133,-2.80e-02,
134,-3.60e-02,
135,-1.20e-02,
136,-2.00e-02,
137,0.00e+00,
138,-8.00e-03,
139,8.00e-03,
140,8.00e-03,
141,2.40e-02,
142,1.60e-02,
143,3.60e-02,
144,2.80e-02,
145,4.00e-02,
146,3.60e-02,
147,5.20e-02,
148,4.40e-02,
149,6.40e-02,
150,6.00e-02,
151,8.00e-02,
152,7.60e-02,
153,1.00e-01,
154,9.20e-02,
155,1.16e-01,
156,1.08e-01,
157,1.24e-01,
158,1.16e-01,
159,1.36e-01,
160,1.28e-01,
161,1.48e-01,
162,1.44e-01,
163,1.68e-01,
164,1.60e-01,
165,1.84e-01,
166,1.80e-01,
167,2.00e-01,
168,1.92e-01,
169,2.04e-01,
170,2.04e-01,
171,1.96e-01,
172,2.04e-01,
173,1.96e-01,
174,2.00e-01,
175,1.92e-01,
176,2.00e-01,
177,1.80e-01,
178,1.88e-01,
179,1.64e-01,
180,1.68e-01,
181,1.40e-01,
182,1.48e-01,
183,1.16e-01,
184,1.20e-01,
185,9.20e-02,
186,9.60e-02,
187,6.00e-02,
188,6.40e-02,
189,2.40e-02,
190,2.40e-02,
191,-1.60e-02,
192,-8.00e-03,
193,-4.40e-02,
194,-3.60e-02,
195,-7.20e-02,
196,-6.40e-02,
197,-9.20e-02,
198,-9.20e-02,
199,-1.24e-01,
200,-1.16e-01,
201,-1.56e-01,
202,-1.48e-01,
203,-1.84e-01,
204,-1.76e-01,
205,-2.04e-01,
206,-1.96e-01,
207,-2.20e-01,
208,-2.12e-01,
209,-2.36e-01,
210,-2.28e-01,
211,-2.44e-01,
212,-2.36e-01,
213,-2.52e-01,
214,-2.44e-01,
215,-2.56e-01,
216,-2.44e-01,
217,-2.52e-01,
218,-2.44e-01,
219,-2.56e-01,
220,-2.48e-01,
221,-2.68e-01,
222,-2.52e-01,
223,-2.68e-01,
224,-2.60e-01,
225,-2.72e-01,
226,-2.68e-01,
227,-2.52e-01,
228,-2.48e-01,
229,-2.64e-01,
230,-2.48e-01,
231,-2.64e-01,
