X,CH1,
-6.0000000e+00,4.00000e-01,
-5.9800000e+00,5.00000e-01,
-5.9600000e+00,4.80000e-01,
-5.9400001e+00,5.40000e-01,
-5.9200001e+00,5.20000e-01,
-5.9000001e+00,5.80000e-01,
-5.8799996e+00,5.60000e-01,
-5.8599997e+00,6.20000e-01,
-5.8399997e+00,6.40000e-01,
-5.8199997e+00,5.80000e-01,
-5.7999997e+00,6.20000e-01,
-5.7799997e+00,5.60000e-01,
-5.7599998e+00,5.80000e-01,
-5.7399998e+00,6.40000e-01,
-5.7199998e+00,6.40000e-01,
-5.6999998e+00,5.80000e-01,
-5.6799998e+00,6.00000e-01,
-5.6599998e+00,5.20000e-01,
-5.6399999e+00,5.40000e-01,
-5.6199999e+00,5.00000e-01,
-5.5999999e+00,5.60000e-01,
-5.5799999e+00,5.20000e-01,
-5.5599999e+00,5.20000e-01,
-5.5400000e+00,4.80000e-01,
-5.5200000e+00,5.00000e-01,
-5.5000000e+00,4.20000e-01,
-5.4800000e+00,4.40000e-01,
-5.4600000e+00,3.80000e-01,
-5.4400001e+00,4.40000e-01,
-5.4200001e+00,5.20000e-01,
-5.4000001e+00,5.00000e-01,
-5.3800001e+00,3.80000e-01,
-5.3599997e+00,3.60000e-01,
-5.3399997e+00,4.60000e-01,
-5.3199997e+00,4.60000e-01,
-5.2999997e+00,5.20000e-01,
-5.2799997e+00,4.80000e-01,
-5.2599998e+00,3.60000e-01,
-5.2399998e+00,3.60000e-01,
-5.2199998e+00,2.60000e-01,
-5.1999998e+00,2.80000e-01,
-5.1799998e+00,3.20000e-01,
-5.1599998e+00,3.20000e-01,
-5.1399999e+00,2.00000e-01,
-5.1199999e+00,2.20000e-01,
-5.0999999e+00,8.00000e-02,
-5.0799999e+00,1.00000e-01,
-5.0599999e+00,6.00000e-02,
-5.0400000e+00,8.00000e-02,
-5.0200000e+00,0.00000e+00,
-5.0000000e+00,2.00000e-02,
-4.9800000e+00,-6.00000e-02,
-4.9600000e+00,-6.00000e-02,
-4.9400001e+00,-1.20000e-01,
-4.9200001e+00,-1.00000e-01,
-4.9000001e+00,-2.00000e-01,
-4.8800001e+00,-1.80000e-01,
-4.8599997e+00,-2.20000e-01,
-4.8399997e+00,-2.00000e-01,
-4.8199997e+00,-3.00000e-01,
-4.7999997e+00,-2.80000e-01,
-4.7799997e+00,-3.20000e-01,
-4.7599998e+00,-3.00000e-01,
-4.7399998e+00,-3.80000e-01,
-4.7199998e+00,-3.60000e-01,
-4.6999998e+00,-4.20000e-01,
-4.6799998e+00,-4.00000e-01,
-4.6599998e+00,-4.80000e-01,
-4.6399999e+00,-4.60000e-01,
-4.6199999e+00,-5.40000e-01,
-4.5999999e+00,-5.40000e-01,
-4.5799999e+00,-6.00000e-01,
-4.5599999e+00,-6.00000e-01,
-4.5400000e+00,-7.00000e-01,
-4.5200000e+00,-6.60000e-01,
-4.5000000e+00,-8.00000e-01,
-4.4800000e+00,-7.80000e-01,
-4.4600000e+00,-8.80000e-01,
-4.4400001e+00,-8.40000e-01,
-4.4200001e+00,-9.20000e-01,
-4.4000001e+00,-8.80000e-01,
-4.3800001e+00,-9.40000e-01,
-4.3600001e+00,-9.40000e-01,
-4.3399997e+00,-8.80000e-01,
-4.3199997e+00,-8.80000e-01,
-4.2999997e+00,-9.60000e-01,
-4.2799997e+00,-9.20000e-01,
-4.2599998e+00,-1.02000e+00,
-4.2399998e+00,-1.02000e+00,
-4.2199998e+00,-9.60000e-01,
-4.1999998e+00,-9.80000e-01,
-4.1799998e+00,-8.40000e-01,
-4.1599998e+00,-8.60000e-01,
-4.1399999e+00,-6.20000e-01,
-4.1199999e+00,-6.20000e-01,
-4.0999999e+00,-3.40000e-01,
-4.0799999e+00,-3.20000e-01,
-4.0599999e+00,-2.00000e-02,
-4.0400000e+00,-2.00000e-02,
-4.0200000e+00,2.40000e-01,
-4.0000000e+00,2.40000e-01,
-3.9800000e+00,4.40000e-01,
-3.9599998e+00,4.20000e-01,
-3.9399998e+00,5.20000e-01,
-3.9199998e+00,5.20000e-01,
-3.8999999e+00,5.80000e-01,
-3.8799999e+00,5.60000e-01,
-3.8599999e+00,6.00000e-01,
-3.8399999e+00,5.80000e-01,
-3.8199999e+00,6.60000e-01,
-3.8000000e+00,6.60000e-01,
-3.7800000e+00,6.00000e-01,
-3.7600000e+00,6.00000e-01,
-3.7400000e+00,7.60000e-01,
-3.7200000e+00,7.60000e-01,
-3.6999998e+00,5.40000e-01,
-3.6799998e+00,4.80000e-01,
-3.6599998e+00,6.00000e-01,
-3.6399999e+00,5.80000e-01,
-3.6199999e+00,7.00000e-01,
